id,original_title,original_language,popularity,release_date,vote_average,vote_count
572154,青春ブタ野郎はゆめみる少女の夢を見ない,ja,26.131,2019-06-15,8.2,521
265177,Mommy,fr,17.994,2014-09-19,8.236,2714
504253,君の膵臓をたべたい,ja,35.687,2018-09-01,8.2,1556
441130,Wolfwalkers,en,27.426,2020-10-26,8.228,1193
110420,おおかみこどもの雨と雪,ja,31.666,2012-07-21,8.2,2289
654299,Como caído del cielo,es,10.141,2019-12-24,8.222,347
315162,Puss in Boots: The Last Wish,en,147.844,2022-12-07,8.221,7853
24188,Il sorpasso,it,11.47,1962-12-05,8.221,750
603,The Matrix,en,114.58,1999-03-31,8.22,25771
16869,Inglourious Basterds,en,72.878,2009-08-02,8.218,22307
857,Saving Private Ryan,en,58.17,1998-07-24,8.217,15885
98,Gladiator,en,444.195,2000-05-04,8.217,18981
618344,Justice League Dark: Apokolips War,en,28.042,2020-05-05,8.214,1459
290098,아가씨,ko,74.247,2016-06-01,8.215,3762
694,The Shining,en,70.239,1980-05-23,8.215,17533
37257,Witness for the Prosecution,en,20.644,1957-12-17,8.212,1412
635302,劇場版「鬼滅の刃」無限列車編,ja,110.822,2020-10-16,8.2,3965
50014,The Help,en,53.994,2011-08-09,8.21,8306
354912,Coco,en,106.955,2017-10-27,8.207,19573
16672,砂の女,ja,26.971,1964-02-15,8.208,449
1124,The Prestige,en,63.207,2006-10-17,8.2,16087
11324,Shutter Island,en,75.909,2010-02-14,8.203,24031
11,Star Wars,en,112.038,1977-05-25,8.203,20693
476292,さよならの朝に約束の花をかざろう,ja,31.406,2018-02-24,8.2,631
324786,Hacksaw Ridge,en,97.6,2016-10-07,8.196,13769
5156,Ladri di biciclette,it,22.83,1948-07-21,8.195,2411
361743,Top Gun: Maverick,en,163.21,2022-05-21,8.194,9318
284,The Apartment,en,25.042,1960-06-21,8.192,2313
185,A Clockwork Orange,en,37.924,1971-12-19,8.192,12881
490,Det sjunde inseglet,sv,22.951,1957-02-16,8.191,2998
313106,Doctor Who: The Day of the Doctor,en,13.847,2013-11-23,8.191,749
522924,The Art of Racing in the Rain,en,27.292,2019-08-08,8.2,1484
92060,Michael Jackson's Thriller,en,11.968,1983-11-14,8.184,682
18148,東京物語,ja,22.592,1953-11-03,8.179,1065
68718,Django Unchained,en,63.468,2012-12-25,8.182,26309
620683,Minha Mãe é uma Peça 3: O Filme,pt,8.341,2019-12-26,8.2,472
556574,Hamilton,en,22.528,2020-07-03,8.18,1419
26451,Indagine su un cittadino al di sopra di ogni sospetto,it,13.826,1970-10-16,8.18,779
77,Memento,en,45.307,2000-10-11,8.18,14901
610892,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,ja,31.032,2019-09-06,8.179,369
629,The Usual Suspects,en,43.048,1995-07-19,8.178,10413
1084736,Le Comte de Monte-Cristo,fr,350.856,2024-06-28,8.2,1046
797,Persona,sv,16.413,1966-10-18,8.17,2157
592350,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,ja,38.738,2019-12-20,8.2,1169
10098,The Kid,en,19.862,1921-01-21,8.17,2105
795607,白蛇 II: 青蛇劫起,zh,19.213,2021-07-23,8.2,306
81481,도가니,ko,23.61,2011-09-22,8.2,633
111,Scarface,en,67.886,1983-12-09,8.164,11866
426,Vertigo,en,35.079,1958-05-28,8.163,5750
1422,The Departed,en,61.386,2006-10-04,8.161,14927
810693,劇場版 呪術廻戦 0,ja,72.521,2021-12-24,8.2,1414
489,Good Will Hunting,en,61.739,1997-12-05,8.159,12417
289,Casablanca,en,34.17,1943-01-15,8.158,5468
606856,Togo,en,29.459,2019-12-20,8.158,2011
348,Alien,en,96.361,1979-05-25,8.158,14849
851644,20세기 소녀,ko,104.24,2022-10-06,8.2,695
517814,کفرناحوم,ar,25.402,2018-09-20,8.155,1711
872,Singin' in the Rain,en,29.056,1952-04-09,8.2,3146
693134,Dune: Part Two,en,279.426,2024-02-27,8.15,5804
1026227,C'è ancora domani,it,25.05,2023-10-26,8.14,1253
537061,Steven Universe: The Movie,en,17.226,2019-10-07,8.1,779
1398,Сталкер,ru,29.705,1979-05-25,8.147,2178
20941,Voces inocentes,es,17.69,2005-01-28,8.147,482
399106,Piper,en,24.044,2016-06-16,8.146,1627
37165,The Truman Show,en,91.012,1998-06-04,8.1,18408
475557,Joker,en,114.821,2019-10-01,8.144,25867
422,8½,it,21.482,1963-02-14,8.1,2286
133919,Scener ur ett äktenskap,sv,12.142,1974-09-15,8.1,349
9702,Bound by Honor,en,39.906,1993-02-05,8.14,1343
614,Smultronstället,sv,17.36,1957-08-28,8.137,1633
103,Taxi Driver,en,49.236,1976-02-09,8.1,12294
20914,Amici miei,it,8.571,1975-10-24,8.1,697
20334,The Shop Around the Corner,en,31.432,1940-01-12,8.138,727
791373,Zack Snyder's Justice League,en,80.698,2021-03-18,8.1,10022
406997,Wonder,en,48.357,2017-11-13,8.1,7862
666,Central do Brasil,pt,17.55,1998-04-03,8.125,902
600,Full Metal Jacket,en,47.736,1987-06-26,8.128,10503
398818,Call Me by Your Name,en,75.003,2017-07-28,8.126,12090
575813,少年的你,zh,38.429,2019-10-25,8.123,451
458220,Palmer,en,27.94,2021-01-28,8.126,1613
600354,The Father,en,28.038,2020-12-23,8.121,3198
500,Reservoir Dogs,en,43.62,1992-09-02,8.121,14318
508442,Soul,en,68.301,2020-12-25,8.12,10481
55823,La grande guerra,it,9.683,1959-10-28,8.1,341
100,"Lock, Stock and Two Smoking Barrels",en,13.246,1998-08-28,8.118,6592
996,Double Indemnity,en,16.916,1944-07-06,8.116,1801
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,en,27.146,1964-01-29,8.116,5628
280,Terminator 2: Judgment Day,en,82.903,1991-07-03,8.117,12943
531428,Portrait de la jeune fille en feu,fr,46.173,2019-09-18,8.116,2559
38288,"“I Corti” di Aldo, Giovanni & Giacomo",it,5.967,1996-03-29,8.1,345
470044,The Hate U Give,en,25.623,2018-10-19,8.115,2121
19,Metropolis,de,33.599,1927-02-06,8.114,2771
762975,Purple Hearts,en,54.811,2022-07-29,8.113,2553
843,花樣年華,cn,35.028,2000-09-29,8.1,2741
698687,Transformers One,en,574.703,2024-09-11,8.108,923
411088,Contratiempo,es,47.385,2017-01-06,8.111,4554
518068,신과함께-인과 연,ko,28.028,2018-08-01,8.1,668
46738,Incendies,fr,39.238,2010-09-17,8.106,2754
664767,Mortal Kombat Legends: Scorpion's Revenge,en,46.755,2020-04-12,8.1,1376
655,"Paris, Texas",en,28.87,1984-07-16,8.102,1877
3780,赤ひげ,ja,21.711,1965-04-03,8.1,357
24382,I soliti ignoti,it,10.792,1958-07-26,8.101,701
146233,Prisoners,en,69.26,2013-09-19,8.1,11809
11878,用心棒,ja,24.609,1961-04-25,8.097,1462
103663,Jagten,da,40.237,2012-06-13,8.097,4189
705,All About Eve,en,16.89,1950-11-09,8.095,1535
20532,山椒大夫,ja,20.222,1954-03-31,8.1,375
2457,Les Enfants du Paradis,fr,15.072,1945-03-15,8.089,411
239,Some Like It Hot,en,32.257,1959-03-19,8.095,3466
38,Eternal Sunshine of the Spotless Mind,en,80.575,2004-03-19,8.096,15020
10681,WALL·E,en,80.604,2008-06-22,8.094,18821
149871,かぐや姫の物語,ja,27.916,2013-11-23,8.1,1786
406,La Haine,fr,27.244,1995-05-31,8.091,4052
12445,Harry Potter and the Deathly Hallows: Part 2,en,193.07,2011-07-12,8.092,20604
387,Das Boot,de,30.219,1981-09-17,8.088,2217
11659,La meglio gioventù,it,13.353,2003-06-22,8.088,534
755812,"Miraculous World : New York, les héros unis",fr,40.169,2020-09-25,8.086,1093
439,La dolce vita,it,21.125,1960-02-05,8.084,1858
663558,新神榜：哪吒重生,zh,25.074,2021-02-06,8.1,430
555604,Guillermo del Toro's Pinocchio,en,33.987,2022-11-09,8.081,2918
832,M - Eine Stadt sucht einen Mörder,de,16.913,1931-05-11,8.08,2179
437068,택시운전사,ko,26.721,2017-08-02,8.079,984
21634,Prayers for Bobby,en,16.492,2009-01-24,8.1,579
872585,Oppenheimer,en,164.101,2023-07-19,8.1,9462
831827,Far from the Tree,en,14.174,2021-11-24,8.1,370
550776,Believe Me: The Abduction of Lisa McVey,en,29.623,2018-09-30,8.074,619
548,羅生門,ja,21.621,1950-08-26,8.076,2229
7345,There Will Be Blood,en,42.835,2007-12-26,8.075,6628
472454,Ayla,tr,17.174,2017-10-27,8.074,359
397567,신과함께-죄와 벌,ko,38.514,2017-12-20,8.1,1047
532067,映画 この素晴らしい世界に祝福を！紅伝説,ja,28.651,2019-08-30,8.1,547
62,2001: A Space Odyssey,en,49.044,1968-04-02,8.1,11551
4348,Pride & Prejudice,en,94.996,2005-09-16,8.1,8046
522518,A Dog's Journey,en,37.577,2019-05-03,8.071,1502
359940,"Three Billboards Outside Ebbing, Missouri",en,23.267,2017-12-01,8.069,10100
8392,となりのトトロ,ja,64.421,1988-04-16,8.068,7993
992,Sherlock Jr.,en,11.205,1924-04-17,8.066,993
334543,Lion,en,27.537,2016-11-24,8.068,6544
11645,乱,ja,22.826,1985-06-01,8.065,1548
1091,The Thing,en,50.489,1982-06-25,8.065,7019
42229,Una giornata particolare,it,13.762,1977-08-11,8.063,660
640344,Me contro Te: Il film - La vendetta del Signor S,it,7.284,2020-01-17,8.06,467
11423,살인의 추억,ko,52.541,2003-05-02,8.059,3832
381284,Hidden Figures,en,53.377,2016-12-10,8.057,9739
823754,Bo Burnham: Inside,en,10.475,2021-07-22,8.053,492
51482,DEATH NOTE リライト ～幻視する神～,ja,157.878,2007-08-31,8.1,303
821,Judgment at Nuremberg,en,18.585,1961-12-18,8.044,789
26022,My Name Is Khan,hi,24.484,2010-02-10,8.042,1311
785534,Kağıttan Hayatlar,tr,12.118,2021-03-12,8.0,381
120467,The Grand Budapest Hotel,en,51.436,2014-02-26,8.046,14830
800,Los olvidados,es,11.518,1950-12-09,8.045,484
638507,How to Train Your Dragon: Homecoming,en,56.773,2019-12-03,8.044,961
310569,Que Horas Ela Volta?,pt,12.66,2015-06-04,8.043,727
7347,Tropa de Elite,pt,29.259,2007-10-12,8.0,2413
8422,Rocco e i suoi fratelli,it,17.17,1960-10-07,8.0,587
147,Les Quatre Cents Coups,fr,17.863,1959-06-03,8.035,2146
838240,Robot Dreams,es,58.168,2023-12-06,8.0,572
538362,Sulla mia pelle,it,7.588,2018-09-12,8.0,1849
1955,The Elephant Man,en,39.918,1980-10-09,8.034,3484
106646,The Wolf of Wall Street,en,104.228,2013-12-25,8.033,24037
31439,活着,zh,15.961,1994-05-18,8.032,314
279,Amadeus,en,27.307,1984-09-19,8.031,4247
400608,Bo Burnham: Make Happy,en,9.863,2016-06-03,8.0,381
582,Das Leben der Anderen,de,25.401,2006-03-23,8.027,3678
204,Le Salaire de la peur,fr,18.601,1953-04-22,8.024,948
9277,The Sting,en,24.612,1973-12-25,8.023,2602
400928,Gifted,en,49.386,2017-04-07,8.024,5512
610461,"Veinteañera, divorciada y fantástica",es,6.62,2020-02-14,8.0,387
1000492,Je verrai toujours vos visages,fr,12.546,2023-03-29,8.021,556
962232,Depois do Universo,pt,16.096,2022-10-27,8.0,319
43949,Flipped,en,59.629,2010-08-06,8.019,3031
521,Dial M for Murder,en,20.498,1954-05-29,8.017,2591
906126,La sociedad de la nieve,es,49.649,2023-12-15,8.018,2943
264644,Room,en,23.156,2015-10-16,8.017,9161
641,Requiem for a Dream,en,22.543,2000-10-06,8.017,9975
673,Harry Potter and the Prisoner of Azkaban,en,214.466,2004-05-31,8.016,21634
515001,Jojo Rabbit,en,42.833,2019-10-18,8.015,9553
938,Per qualche dollaro in più,it,33.464,1965-12-18,8.015,3977
14,American Beauty,en,34.444,1999-09-15,8.012,12058
678580,El mesero,es,7.51,2021-07-15,8.011,350
347688,Scooby-Doo! and KISS: Rock and Roll Mystery,en,11.15,2015-07-09,8.0,317
307,Roma città aperta,it,16.656,1945-10-08,8.011,883
740937,"Simone, le voyage du siècle",fr,8.597,2022-10-12,8.0,326
55960,"Totò, Peppino e la... malafemmina",it,7.999,1956-08-23,8.009,346
526702,Black Beauty,en,21.123,2020-11-27,8.0,337
524,Casino,en,29.708,1995-11-22,8.0,5825
359724,Ford v Ferrari,en,62.3,2019-11-13,8.007,7996
337404,Cruella,en,92.627,2021-05-26,8.006,9339
28178,Hachi: A Dog's Tale,en,54.929,2009-06-08,8.006,6697
110416,Song of the Sea,en,22.918,2014-06-23,8.0,1422
20453,3 Idiots,hi,31.179,2009-12-23,8.003,2382
947,Lawrence of Arabia,en,33.055,1962-12-11,8.003,3020
15,Citizen Kane,en,31.564,1941-04-17,8.003,5529
930094,"Red, White & Royal Blue",en,74.549,2023-07-27,8.0,1286
449176,"Love, Simon",en,21.612,2018-02-16,8.0,6028
11658,태극기 휘날리며,ko,18.554,2004-02-05,8.002,665
3175,Barry Lyndon,en,26.885,1975-12-18,8.0,2819
12761,Höstsonaten,sv,10.988,1978-10-08,7.994,605
780,La Passion de Jeanne d'Arc,fr,18.548,1928-04-21,7.997,940
568160,天気の子,ja,41.468,2019-06-19,8.0,2298
339877,Loving Vincent,en,15.925,2017-06-22,7.998,2455
205596,The Imitation Game,en,66.992,2014-11-14,7.998,17027
25376,El secreto de sus ojos,es,33.219,2009-08-13,7.998,2546
11778,The Deer Hunter,en,35.302,1978-12-08,7.996,3819
678512,Sound of Freedom,en,76.675,2023-07-03,7.996,2424
140420,Paperman,en,14.058,2012-11-02,8.0,1712
20530,晩春,ja,15.897,1949-09-13,8.0,419
19426,Le notti di Cabiria,it,15.846,1957-10-03,7.989,765
595,To Kill a Mockingbird,en,24.108,1962-12-20,7.993,2609
13223,Gran Torino,en,26.913,2008-12-12,7.991,10690
962,The Gold Rush,en,16.715,1925-07-13,7.99,1605
530915,1917,en,56.005,2019-12-25,7.991,12416
28422,愛のむきだし,ja,18.771,2009-01-31,8.0,443
7508,तारे ज़मीन पर,hi,24.354,2007-12-21,7.987,1163
414419,Kill Bill: The Whole Bloody Affair,en,24.92,2011-03-27,8.0,1011
455661,In a Heartbeat,en,6.343,2017-06-01,7.988,995
895,Андрей Рублёв,ru,16.05,1966-12-16,7.983,827
2517,誰も知らない,ja,23.684,2004-08-07,8.0,526
429210,Bingo: O Rei das Manhãs,pt,7.581,2017-08-24,7.983,386
424694,Bohemian Rhapsody,en,45.849,2018-10-24,7.983,16873
11104,重慶森林,cn,38.298,1994-07-14,7.983,1818
213,North by Northwest,en,26.202,1959-07-08,7.982,4101
14696,雨月物語,ja,19.713,1953-03-26,7.984,571
18438,김씨 표류기,ko,19.655,2009-05-14,7.978,665
640,Catch Me If You Can,en,74.306,2002-12-16,7.978,15683
1050035,怪物,ja,65.582,2023-06-02,8.0,563
626332,Flamin' Hot,en,43.99,2023-03-11,7.975,672
10515,天空の城ラピュタ,ja,39.018,1986-08-02,7.974,4198
862,Toy Story,en,125.385,1995-10-30,7.97,18445
24,Kill Bill: Vol. 1,en,60.711,2003-10-10,7.971,17447
1396,Зеркало,ru,20.112,1975-03-07,8.0,949
76,Before Sunrise,en,42.248,1995-01-27,7.97,4147
488623,기억의 밤,ko,30.185,2017-11-29,7.967,1105
627,Trainspotting,en,27.639,1996-02-23,7.964,9649
12104,Pink Floyd: The Wall,en,18.241,1982-07-14,7.961,1491
315465,バケモノの子,ja,27.929,2015-07-11,7.963,1476
574074,Kitbull,en,21.382,2019-01-18,8.0,368
447365,Guardians of the Galaxy Vol. 3,en,119.89,2023-05-03,7.962,6945
38286,Tre uomini e una gamba,it,8.236,1997-12-27,7.962,2068
15244,Un condamné à mort s'est échappé,fr,14.314,1956-11-11,8.0,534
3090,The Treasure of the Sierra Madre,en,16.782,1948-01-15,7.958,1201
28978,The Circus,en,10.484,1928-01-06,8.0,789
961,The General,en,14.239,1926-12-25,7.956,1248
14160,Up,en,83.938,2009-05-28,8.0,20261
70,Million Dollar Baby,en,31.361,2004-12-15,7.957,9563
160885,Tel chi el telùn,it,6.097,1999-05-12,7.956,320
10997,霸王别姬,zh,27.96,1993-01-01,7.949,581
9764,Дерсу Узала,ru,20.86,1975-08-02,7.947,540
1059,隠し砦の三悪人,ja,25.242,1958-12-28,8.0,618
745,The Sixth Sense,en,42.708,1999-08-06,7.955,11737
634649,Spider-Man: No Way Home,en,185.747,2021-12-15,8.0,20251
41050,La notte,it,13.285,1961-01-24,8.0,669
10386,The Iron Giant,en,43.204,1999-08-06,7.951,5614
329,Jurassic Park,en,40.883,1993-06-11,8.0,16323
37797,耳をすませば,ja,30.923,1995-07-15,8.0,1991
19542,The Red Shoes,en,22.935,1948-09-06,7.9,662
5925,The Great Escape,en,37.193,1963-07-03,7.948,2549
237791,Hoje Eu Quero Voltar Sozinho,pt,12.592,2014-04-10,7.948,937
5801,পথের পাঁচালী,bn,16.752,1955-08-26,7.938,421
679,Aliens,en,60.013,1986-07-18,7.948,9797
149,AKIRA,ja,51.55,1988-06-10,7.947,4236
158445,7번방의 선물,ko,22.927,2013-01-23,7.9,435
1580,Rope,en,18.349,1948-03-11,7.945,2706
615457,Nobody,en,48.623,2021-03-18,7.945,7104
554596,No Manches Frida 2,es,46.149,2019-03-15,7.9,874
916224,すずめの戸締まり,ja,71.892,2022-11-11,7.9,1333
242828,思い出のマーニー,ja,27.936,2014-07-19,7.9,1791
10238,Viskningar och rop,sv,16.579,1972-12-21,7.938,689
11712,椿三十郎,ja,21.399,1962-01-01,7.937,607
197,Braveheart,en,57.462,1995-05-24,7.941,10150
6977,No Country for Old Men,en,49.435,2007-06-13,7.941,12035
78,Blade Runner,en,59.922,1982-06-25,7.94,13809
76203,12 Years a Slave,en,48.468,2013-10-18,7.939,11257
81,風の谷のナウシカ,ja,37.796,1984-03-11,7.938,3596
10404,大红灯笼高高挂,zh,23.561,1991-12-18,7.934,711
770,Gone with the Wind,en,38.24,1939-12-15,7.938,4027
776503,CODA,en,35.545,2021-08-13,7.936,2252
29264,El ángel exterminador,es,14.776,1962-05-16,7.937,666
6715,The Cure,en,17.909,1995-04-21,7.936,304
15383,L'Armée des ombres,fr,16.047,1969-09-10,7.9,644
11010,Il postino,it,15.2,1994-04-07,7.928,1137
489412,It's Such a Beautiful Day,en,13.81,2012-08-24,7.9,322
296096,Me Before You,en,119.013,2016-06-01,7.929,12417
30017,کلوزآپ ، نمای نزدیک,fa,14.888,1990-05-09,7.9,380
9323,GHOST IN THE SHELL,ja,39.918,1995-11-18,7.929,3404
152532,Dallas Buyers Club,en,24.47,2013-11-01,7.927,8452
20803,Иван Васильевич меняет профессию,ru,14.016,1973-09-17,7.928,353
85,Raiders of the Lost Ark,en,73.776,1981-06-12,7.927,12457
426618,Where Hands Touch,en,19.385,2018-09-14,7.927,514
1578,Raging Bull,en,21.911,1980-11-14,7.927,4320
3777,蜘蛛巣城,ja,23.031,1957-01-15,7.923,859
21334,بچه‌های آسمان,fa,17.383,1997-08-01,7.918,620
8290,La Grande Vadrouille,fr,19.679,1966-12-08,7.924,1343
49964,خانه‌ی دوست کجاست؟,fa,20.745,1987-07-01,7.9,359
505262,僕のヒーローアカデミア THE MOVIE ～2人の英雄～,ja,38.747,2018-08-03,7.923,1004
654,On the Waterfront,en,17.894,1954-06-22,7.917,1574
48035,Ordet,da,14.931,1955-01-09,7.9,363
775,Le Voyage dans la Lune,fr,14.409,1902-06-21,7.9,1790
110,Trois couleurs : Rouge,fr,25.085,1994-05-12,7.916,1393
38360,Летят журавли,ru,16.184,1957-10-12,7.9,384
10242,What Ever Happened to Baby Jane?,en,15.994,1962-10-31,7.92,1048
1646,Freedom Writers,en,26.909,2007-01-05,7.917,2189
234,Das Cabinet des Dr. Caligari,de,25.755,1920-02-27,7.917,1589
122906,About Time,en,53.767,2013-09-04,7.917,8523
949,Heat,en,56.375,1995-12-15,7.916,7321
405,La strada,it,11.076,1954-09-23,7.913,1059
7857,Amarcord,it,15.115,1973-12-18,7.912,1100
1092,The Third Man,en,27.308,1949-08-31,7.9,1863
194,Le Fabuleux Destin d'Amélie Poulain,fr,48.103,2001-04-25,7.9,11528
1010581,Culpa mía,es,1637.392,2023-06-08,7.9,3180
142061,"Batman: The Dark Knight Returns, Part 2",en,24.321,2013-01-03,7.914,1475
28971,Limelight,en,14.366,1952-10-23,7.9,525
33,Unforgiven,en,37.311,1992-08-07,7.914,4420
920394,Babamın Kemanı,tr,14.871,2022-01-21,7.9,328
404378,A Street Cat Named Bob,en,16.355,2016-11-04,7.912,1435
150540,Inside Out,en,147.71,2015-06-17,7.912,22052
829,Chinatown,en,29.288,1974-06-20,7.9,3826
944401,Dogman,fr,102.756,2023-09-27,7.91,1098
13398,東京ゴッドファーザーズ,ja,43.485,2003-12-05,7.908,1282
491480,The Boy Who Harnessed the Wind,en,27.395,2019-02-14,7.907,1669
10674,Mulan,en,88.911,1998-06-18,7.908,9699
671,Harry Potter and the Philosopher's Stone,en,274.759,2001-11-16,7.9,27567
597,Titanic,en,178.332,1997-11-18,7.907,25445
118340,Guardians of the Galaxy,en,43.766,2014-07-30,7.9,28064
20271,Divorzio all'italiana,it,13.912,1961-12-20,7.9,462
334533,Captain Fantastic,en,28.083,2016-07-08,7.9,6387
51822,Amar te duele,es,35.101,2002-11-08,7.904,306
615453,哪吒之魔童降世,zh,26.788,2019-07-26,7.9,401
313369,La La Land,en,82.538,2016-11-29,7.9,16892
60243,جدایی نادر از سیمین,fa,16.523,2011-02-15,7.902,1733
